Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
873,0,1,45.791,0.07,-0.07,0,0.246,0.005,-0.005,117.982864,-11.032976,31.55,,,31.55,0.04,-0.04,7.718,,5676,32,-87,0.95,0.05,-0.05,,,,,3.33,0.64,-0.64,0.056,0.01101,-0.01101,,,,17.8,3.5,-3.5,17.8,3.5,-3.5,,,,,,,,,,,0,11,15,7.86552429,229.788083,8.085024,122.636176,-31.356528,,,,31.69,0.04,-0.04,-69.453,0.064,-173.481,0.047,186.867,0.049,-69.453,0.064,-173.481,0.047,186.867,0.049,52.79,0.15,-0.15,4.7,,,,,,,,,,,,,2,,,7.718,0.011,8.402,0.017,,6.478,0.035,6.125,0.031,6.046,0.024,6.018,0.118,5.938,0.037,6.057,0.015,5.984,0.045,,13,,,0.684,0.02,0.353,0.047,0.079,0.039,0.432,0.042,0.428,0.003,0.26,0.004,0.296,0.006,11
874,0,1,21.998,0.009,-0.009,0,0.14,0,0,16.167295,-39.488216,42.41,0.08,-0.08,42.41,0.08,-0.08,7.71,7.561,5769,14,-14,1.1,0.13,-0.13,1.12,0.01,-0.01,,34.2,1.1,-1.1,0.49,0.04,-0.04,,,,155.7367,12.7132,-12.7132,155.7367,12.7132,-12.7132,,,,,,,,,,,0,50,23,1.0778197,291.211336,-77.337312,355.695159,-41.983996,23.58,0.04,-0.04,23.58,0.04,-0.04,-170.1,0.1,-527.9,0.1,554.6,0.1,-170.1,0.1,-527.9,0.1,554.6,0.1,22.9,0.2,-0.2,4.25,4.38,0.05,-0.05,,,,-0.55,,,,,,2.2,0.5,-0.5,7.71,0.12,8.331,0.016,,6.577,0.02,6.272,0.033,6.187,0.026,6.166,0.091,6.116,0.041,6.171,0.015,6.16,0.055,,19,,,0.61,0.01,0.305,0.039,0.085,0.042,0.39,0.033,,,,,,,6
875,0,2,577.6,1.328,-1.328,0,1.301,0.02,-0.02,118.422173,-63.647324,35.16,0.04,-0.04,35.16,0.04,-0.04,7.964,7.794,5612,,,0.87,,,,,,,35.7,1.28,-1.28,1.295,0.062,-0.062,,,,411.58985,19.70546,-19.70546,411.58985,19.70546,-19.70546,,,,,,,,,,,0,58,23,7.8948115,276.274504,-17.614028,179.529167,-77.802302,28.44,0.03,-0.03,28.44,0.03,-0.03,-123.6,0.1,146.6,0.1,191.8,0.1,-123.6,0.1,146.6,0.1,191.8,0.1,42.67,0,0,4.5,4.44,,,,,,,,,,,,1,,,7.964,0.011,8.654,0.017,,6.763,0.024,6.42,0.047,6.329,0.027,6.267,0.104,6.167,0.026,6.328,0.015,6.306,0.05,,13,,,0.69,0.02,0.343,0.053,0.091,0.054,0.434,0.036,0.42,0.003,0.219,0.004,0.297,0.006,11
876,0,2,5370,20,-20,0,5.75,0.09,-0.09,118.422173,-63.647324,35.16,0.04,-0.04,35.16,0.04,-0.04,7.964,7.794,5612,,,0.87,,,,,,,26,1.2,-1.2,2.03,0.11,-0.11,,,,645.1949,34.9613,-34.9613,645.1949,34.9613,-34.9613,,,,,,,,,,,0,46,23,7.8948115,276.274504,-17.614028,179.529167,-77.802302,28.44,0.03,-0.03,28.44,0.03,-0.03,-123.6,0.1,146.6,0.1,191.8,0.1,-123.6,0.1,146.6,0.1,191.8,0.1,42.67,0,0,4.5,4.44,,,,,,,,,,,,1,,,7.964,0.011,8.654,0.017,,6.763,0.024,6.42,0.047,6.329,0.027,6.267,0.104,6.167,0.026,6.328,0.015,6.306,0.05,,13,,,0.69,0.02,0.343,0.053,0.091,0.054,0.434,0.036,0.42,0.003,0.219,0.004,0.297,0.006,11
877,0,1,480.5,0.5,-0.5,0,1.2,0.1,-0.1,120.566406,2.334571,68.16,2.09,-2.09,68.16,2.09,-2.09,4.38,3.891,4323,15,-15,1.1,0.1,-0.1,21.4,0.6,-0.6,-4.8,146.2,2.7,-2.7,6,0.3,-0.3,,,,1906.9,95.3,-95.3,1906.9,95.3,-95.3,,,,,,,,,,,0,28,21,8.03776042,219.06746,16.800437,122.242814,-17.748813,14.67,0.45,-0.45,14.67,0.45,-0.45,-26.5,0.6,105.3,0.3,108.6,0.4,-26.5,0.6,105.3,0.3,108.6,0.4,71.57,0.01,-0.01,5.2,1.78,0.04,-0.04,2.24,,,-0.323,0.034,-0.034,6.84,1.39,-1.39,4.7,,,4.38,,5.63,,5.054,2.199,0.282,1.553,0.268,1.447,0.308,-1.166,,-0.65,,1.416,0.034,1.318,0.013,1,23,1.28,,1.25,,0.646,0.389,0.106,0.408,0.752,0.418,0.769,0.003,0.557,0.004,0.426,0.004,12
878,0,1,2263.12,6.13,-5.94,0,3.467,0.024,-0.024,120.869438,-1.162709,53.36,0.22,-0.22,53.36,0.22,-0.22,8.246,8.081,5773,23,-23,1.08,0.02,-0.02,1.1,0.06,-0.06,-7.4,54.03,1.46,-1.43,3.204,0.043,-0.043,,,,1018.32732,13.66669,-13.66669,1018.32732,13.66669,-13.66669,,,,,,,,,,,0,67,26,8.05796254,222.426215,15.418081,123.355885,-21.09863,18.74,0.08,-0.08,18.74,0.08,-0.08,-65.7,0.1,-206.9,0.1,217.1,0.1,-65.7,0.1,-206.9,0.1,217.1,0.1,44.3,0.4,-0.4,4.8,4.36,0.05,-0.05,,,,0.23,0.05,-0.05,3.515,2.04,-2.04,0,0.5,-0.5,8.246,0.013,8.967,0.018,,7.044,0.023,6.768,0.061,6.66,0.021,6.634,0.073,6.641,0.022,6.677,0.017,6.629,0.081,,14,,,0.717,0.006,0.276,0.065,0.108,0.065,0.384,0.031,0.437,0.003,0.263,0.004,0.368,0.006,12
879,0,2,352.2,1.7,-1.6,0,1.08,0.04,-0.04,121.915649,31.551319,76.69,0.33,-0.33,76.69,0.33,-0.33,8.05,7.922,6330,47,-47,1.36,0.04,-0.04,1.55,0.32,-0.32,-29.1,73.6,4.4,-3.9,3.06,0.22,-0.2,,,,973,70,-64,973,70,-64,,,,,,,,,,,0,17,12,8.12770996,190.1175,29.092521,117.328466,11.09012,13.04,0.06,-0.06,13.04,0.06,-0.06,-16.5,0.1,-37.7,0.1,41.1,0.1,-16.5,0.1,-37.7,0.1,41.1,0.1,0.4,0.3,-0.3,3.8,4.19,0.06,-0.06,0.54,0.085,-0.11,0.25,0.04,-0.04,1.45,0.51,-0.51,9.7,0.5,-0.5,8.05,,8.58,,,7.098,0.019,6.905,0.017,6.866,0.018,6.8,0.058,6.841,0.02,6.876,0.016,6.688,0.084,,15,,,0.53,,0.193,0.025,0.039,0.025,0.232,0.026,,,,,,,6
880,0,2,2374,193,-156,0,3.86,0.43,-0.37,121.915649,31.551319,76.69,0.33,-0.33,76.69,0.33,-0.33,8.05,7.922,6330,47,-47,1.36,0.04,-0.04,1.55,0.32,-0.32,-407.1,93.3,151.4,-40.8,4.85,10,-3.61,,,,1540,3180,-1150,1540,3180,-1150,,,,,,,,,,,0,17,12,8.12770996,190.1175,29.092521,117.328466,11.09012,13.04,0.06,-0.06,13.04,0.06,-0.06,-16.5,0.1,-37.7,0.1,41.1,0.1,-16.5,0.1,-37.7,0.1,41.1,0.1,0.4,0.3,-0.3,3.8,4.19,0.06,-0.06,0.54,0.085,-0.11,0.25,0.04,-0.04,1.45,0.51,-0.51,9.7,0.5,-0.5,8.05,,8.58,,,7.098,0.019,6.905,0.017,6.866,0.018,6.8,0.058,6.841,0.02,6.876,0.016,6.688,0.084,,15,,,0.53,,0.193,0.025,0.039,0.025,0.232,0.026,,,,,,,6
881,0,1,2496,180,-180,0,3.55,0.18,-0.18,16.952761,-8.233706,51.42,0.14,-0.14,51.42,0.14,-0.14,8.45,8.281,5801,41,-41,1.08,0.21,-0.21,0.95,0.02,-0.02,,24.1,1.5,-1.5,1.68,0.24,-0.24,,,,533.9544,76.2792,-76.2792,533.9544,76.2792,-76.2792,,,,,,,,,,,0,26,15,1.13018405,135.281047,-70.711886,12.380155,-14.25177,19.45,0.05,-0.05,19.45,0.05,-0.05,192.6,0.1,20.1,0.1,193.7,0.1,192.6,0.1,20.1,0.1,193.7,0.1,34.75,0,0,4.5,4.51,0.08,-0.08,,,,-0.03,,,,,,1.76,1,-1,8.45,,9.112,,,7.269,0.018,6.988,0.045,6.876,0.02,6.849,0.064,6.858,0.02,6.894,0.019,6.853,0.086,,15,,,0.662,,0.281,0.048,0.112,0.049,0.393,0.027,0.409,0.003,0.21,0.004,0.315,0.006,9
882,0,1,1103,33,-33,0,2.18,0.09,-0.09,121.348717,-74.410416,78.61,0.1,-0.1,78.61,0.1,-0.1,9.11,8.954,5950,100,-100,1.12,0.05,-0.05,1.02,0.05,-0.05,,54.7,5.3,-5.3,3.07,0.35,-0.35,,,,975.7381,111.2405,-111.2405,975.7381,111.2405,-111.2405,,,,,,,,,,,0,16,13,8.08991445,287.055035,-21.306474,230.986192,-77.167634,12.72,0.02,-0.02,12.72,0.02,-0.02,-78.2,0,78.9,0,111.1,0,-78.2,0,78.9,0,111.1,0,11.6,0.49,-0.49,4.5,4.47,0.05,-0.05,0.068,0.022,-0.023,0.29,0.1,-0.1,2,3,-3,2.9,0.2,-0.2,9.11,,9.773,0.024,,7.984,0.024,7.697,0.026,7.697,0.027,7.567,0.026,7.611,0.02,7.601,0.017,7.504,0.071,,14,,,0.66,0.021,0.287,0.035,0,0.037,0.287,0.036,,,,,,,6
883,0,1,6.27711,0.00021,-0.00021,0,0.07,0,0,124.592384,61.460724,60.95,0.19,-0.19,60.95,0.19,-0.19,8.2,8.046,5932,23,-23,1.28,0.09,-0.09,1.19,0.02,-0.02,,184.7,3.7,-3.7,1.97,0.1,-0.1,,,,626.1251,31.783,-31.783,626.1251,31.783,-31.783,,,,,,,,,,,0,42,22,8.30615896,155.263155,33.919123,110.900628,40.507943,16.41,0.05,-0.05,16.41,0.05,-0.05,128.3,0.1,30.3,0.1,131.9,0.1,128.3,0.1,30.3,0.1,131.9,0.1,-69.7,0.2,-0.2,4.2,4.4,0.03,-0.03,,,,0.35,,,,,,2.84,,,8.2,,8.825,,,7.06,0.021,6.812,0.02,6.743,0.024,6.715,0.072,6.71,0.022,6.756,0.015,6.708,0.067,,15,,,0.625,,0.248,0.029,0.069,0.031,0.317,0.032,,,,,,,6
884,0,3,8.667,0.003,-0.003,0,0.0785,,,124.599777,-12.632174,12.56,0.01,-0.01,12.56,0.01,-0.01,6,5.739,5385,20,-20,0.86,0.03,-0.03,,,,-0.6,3.51,0.15,-0.15,0.0321,,,,,,10.2,,,10.2,,,,,,,,,,,,,0,48,42,8.30665181,234.563448,12.823793,130.448527,-31.342003,79.59,0.06,-0.06,79.59,0.06,-0.06,278.8,0.1,-988.3,0.1,1026.9,0.1,278.8,0.1,-988.3,0.1,1026.9,0.1,29.8,0.1,-0.1,5,,,,-0.22,0.02,-0.02,-0.05,0.02,-0.02,7,3,-3,1.1,0.5,-1.1,6,,6.76,,5.525,4.953,0.268,4.364,0.224,4.165,0.036,4.113,0.313,3.799,0.22,4.082,0.015,3.696,0.021,1,33,0.32,,0.76,,0.589,0.349,0.199,0.227,0.788,0.27,0.461,0.002,0.291,0.003,0.318,0.006,22
885,0,3,31.56,0.04,-0.04,0,0.186,,,124.599777,-12.632174,12.56,0.01,-0.01,12.56,0.01,-0.01,6,5.739,5385,20,-20,0.86,0.03,-0.03,,,,-2.8,2.66,0.16,-0.16,0.0371,,,,,,11.8,,,11.8,,,,,,,,,,,,,0,48,42,8.30665181,234.563448,12.823793,130.448527,-31.342003,79.59,0.06,-0.06,79.59,0.06,-0.06,278.8,0.1,-988.3,0.1,1026.9,0.1,278.8,0.1,-988.3,0.1,1026.9,0.1,29.8,0.1,-0.1,5,,,,-0.22,0.02,-0.02,-0.05,0.02,-0.02,7,3,-3,1.1,0.5,-1.1,6,,6.76,,5.525,4.953,0.268,4.364,0.224,4.165,0.036,4.113,0.313,3.799,0.22,4.082,0.015,3.696,0.021,1,33,0.32,,0.76,,0.589,0.349,0.199,0.227,0.788,0.27,0.461,0.002,0.291,0.003,0.318,0.006,22
886,0,3,197,3,-3,0,0.63,,,124.599777,-12.632174,12.56,0.01,-0.01,12.56,0.01,-0.01,6,5.739,5385,20,-20,0.86,0.03,-0.03,,,,-34,2.2,0.19,-0.19,0.057,,,,,,18.1,,,18.1,,,,,,,,,,,,,0,48,42,8.30665181,234.563448,12.823793,130.448527,-31.342003,79.59,0.06,-0.06,79.59,0.06,-0.06,278.8,0.1,-988.3,0.1,1026.9,0.1,278.8,0.1,-988.3,0.1,1026.9,0.1,29.8,0.1,-0.1,5,,,,-0.22,0.02,-0.02,-0.05,0.02,-0.02,7,3,-3,1.1,0.5,-1.1,6,,6.76,,5.525,4.953,0.268,4.364,0.224,4.165,0.036,4.113,0.313,3.799,0.22,4.082,0.015,3.696,0.021,1,33,0.32,,0.76,,0.589,0.349,0.199,0.227,0.788,0.27,0.461,0.002,0.291,0.003,0.318,0.006,22
887,0,1,851.8,11.6,-11.6,0,1.76,0.05,-0.05,125.708135,1.859323,45.7,,,59.28,0.16,-0.16,11.424,8.543,5737,70,-70,1,0.1,-0.1,,,,-25.72,148.5,16.5,-16.5,6.1,0.4,-0.4,,,,1900,130,-130,1900,130,-130,,,,,,,,,,,0,27,16,8.38054236,222.065941,21.112152,127.599434,-17.041062,,,,16.87,0.04,-0.04,-51.4,0.1,-49.2,0,71.2,0.1,-51.4,0.1,-49.2,0,71.2,0.1,,,,4.12,4.59,0.1,-0.1,,,,-0.18,0.2,-0.2,0.102,0.024,-0.024,14.7,1,-1,11.424,0.106,12.352,0.206,,7.558,0.013,7.276,0.031,7.191,0.019,7.087,0.039,7.175,0.019,7.175,0.019,7.161,0.113,,12,,,0.928,0.232,0.282,0.034,0.085,0.036,0.367,0.023,0.401,0.005,0.188,0.007,0.317,0.002,8
888,0,1,2124.54,14.65,-13.51,0,3.318,0.022,-0.021,125.367233,-39.70541,29.3,0.03,-0.03,29.3,0.03,-0.03,7.169,6.992,5732,23,-23,1.08,0.01,-0.01,0.98,0.02,-0.02,-131.9,30.4,1.83,-1.91,1.993,0.018,-0.018,,,,633.43519,5.72094,-5.72094,633.43519,5.72094,-5.72094,,,,,,,,,,,0,79,32,8.35781555,257.612364,-1.672688,144.173307,-56.686289,34.13,0.03,-0.03,34.13,0.03,-0.03,-202,0.1,224.8,0.1,302.2,0.1,-202,0.1,224.8,0.1,302.2,0.1,48.8,0.1,-0.1,4.5,4.46,0.02,-0.02,,,,0.22,0.02,-0.02,0.919,0.733,-0.733,0.3,,,7.169,,7.89,,6.81,5.954,0.02,5.674,0.04,5.574,0.02,5.614,0.129,5.41,0.057,5.573,0.014,5.542,0.036,,23,,,0.733,0.005,0.28,0.045,0.1,0.045,0.38,0.028,0.433,0.003,0.255,0.004,0.35,0.005,18
889,0,1,615,7,-7,0,1.36,0.02,-0.02,17.696762,-66.188164,36.19,0.04,-0.04,36.19,0.04,-0.04,8.027,7.837,5371,28,-28,0.77,0.09,-0.09,0.97,0.02,-0.02,,7.8,0.6,-0.6,0.27,0.03,-0.03,,,,85.8141,9.5349,-9.5349,85.8141,9.5349,-9.5349,,,,,,,,,,,0,35,19,1.17978414,299.842421,-50.823757,326.839338,-62.647988,27.63,0.03,-0.03,27.63,0.03,-0.03,110.5,0,-123.3,0,165.6,0,110.5,0,-123.3,0,165.6,0,4.8,,,5,4.35,0.05,-0.05,,,,0.32,,,,,,2.5,0.5,-0.5,8.027,0.011,8.892,0.017,,6.664,0.024,6.329,0.029,6.229,0.018,6.187,0.115,6.073,0.029,6.207,0.015,6.155,0.046,,13,,,0.865,0.02,0.335,0.038,0.1,0.034,0.435,0.03,0.518,0.003,0.314,0.004,0.444,0.006,8
890,0,1,858,12,-12,0,1.88,0.21,-0.21,128.40271,13.55079,126.79,1.09,-1.09,126.79,1.09,-1.09,7.82,7.574,4934,,,1.21,,,4.96,,,-230,33.5,1.5,-1.5,1.768,0.08,-0.08,,,,561.92344,25.4264,-25.4264,561.92344,25.4264,-25.4264,,,,,,,,,,,0,14,14,8.56018066,211.796369,28.679808,127.318741,-5.052782,7.89,0.07,-0.07,7.89,0.07,-0.07,25.239,0.108,-16.29,0.068,30.04,0.098,25.239,0.108,-16.29,0.068,30.04,0.098,31.82,0.15,-0.15,4.5,3.21,,,,,,,,,,,,,,,7.82,,8.741,0.02,,6.162,0.021,5.712,0.017,5.614,0.018,5.585,0.161,5.526,0.053,5.61,0.014,5.487,0.045,,20,,,0.912,0.024,0.45,0.027,0.098,0.025,0.548,0.028,0.57,0.003,0.302,0.004,0.42,0.006,9
891,0,1,3658,32,-32,0,4.75,0.08,-0.08,128.51329,-1.568217,51.97,0.14,-0.14,51.97,0.14,-0.14,7.46,7.311,5932,19,-19,1.43,0.11,-0.11,1.46,0.02,-0.02,,41,1.3,-1.3,3.85,0.23,-0.23,,,,1223.6455,73.1009,-73.1009,1223.6455,73.1009,-73.1009,,,,,,,,,,,0,78,27,8.56755269,226.753797,21.881152,131.372001,-19.647867,19.24,0.05,-0.05,19.24,0.05,-0.05,-112.5,0.1,-96.6,0,148.3,0.1,-112.5,0.1,-96.6,0,148.3,0.1,-18.15,0,0,4.2,4.27,0.03,-0.03,,,,-0.02,,,,,,1.9,,,7.46,,,,,6.358,0.019,6.089,0.027,5.982,0.024,5.983,0.103,5.919,0.039,6.019,0.014,5.933,0.044,,16,,,0.612,,0.269,0.033,0.107,0.036,0.376,0.031,0.383,0.003,0.179,0.004,0.377,0.005,9
892,0,1,39.475,0.004,-0.004,0,0.228,0.008,-0.008,128.719147,-14.456694,69.87,0.19,-0.19,69.87,0.19,-0.19,8.83,8.647,5688,100,-100,1.02,0.05,-0.05,1.22,0.06,-0.06,,318.4,4.5,-4.5,5.45,0.37,-0.37,,,,1732.1735,117.5971,-117.5971,1732.1735,117.5971,-117.5971,,,,,,,,,,,0,16,14,8.58127645,238.386357,15.192258,135.564976,-31.976751,14.31,0.04,-0.04,14.31,0.04,-0.04,92.2,0.1,-170.4,0.1,193.8,0.1,92.2,0.1,-170.4,0.1,193.8,0.1,-38.64,0.25,-0.25,4.5,4.27,0.05,-0.05,0.146,0.027,-0.029,0.25,0.1,-0.1,8,3,-3,2.7,0.2,-0.2,8.83,,9.505,0.023,,7.606,0.021,7.323,0.033,7.216,0.02,7.085,0.036,7.223,0.021,7.213,0.015,7.137,0.11,,14,,,0.686,0.015,0.283,0.039,0.107,0.039,0.39,0.029,,,,,,,6
893,0,1,1245.36,2.81,-2.81,0,2.187,0.016,-0.016,129.074066,-34.45998,54.91,3,-3,50.48,0.07,-0.07,8.889,8.678,5387,10,-10,0.9,0.02,-0.02,0.91,0.03,-0.03,-12,64.65,0.86,-0.87,3.097,0.044,-0.043,,,,984.31951,13.98452,-13.66669,984.31951,13.98452,-13.66669,,,,,,,,,,,0,30,16,8.60493774,255.086315,3.792466,145.126039,-50.692508,18.21,0.93,-0.93,19.81,0.03,-0.03,-106.2,0,123.3,0,162.7,0,-106.2,0,123.3,0,162.7,0,51.91,0,0,4.5,4.45,0.04,-0.04,,,,0.07,0.04,-0.04,8.14,3.505,-3.505,1.65,,,8.889,,9.706,,,7.493,0.023,7.126,0.031,7.062,0.022,6.878,0.057,7.043,0.02,7.019,0.017,6.982,0.083,,16,,,0.827,0.003,0.367,0.039,0.064,0.038,0.431,0.032,0.48,0.007,0.312,0.01,0.342,0.008,10
894,0,2,188.3,0.9,-0.9,0,0.65,0.01,-0.01,129.31868,-41.319103,97.51,0.32,-0.32,97.51,0.32,-0.32,8.971,8.797,5601,24,-24,1.14,0.15,-0.15,1.53,0.03,-0.03,,102,5,-5,3.08,0.31,-0.31,,,,978.9164,98.5273,-98.5273,978.9164,98.5273,-98.5273,,,,,,,,,,,0,48,24,8.62124532,260.681157,-0.185726,150.389714,-56.81327,10.26,0.03,-0.03,10.26,0.03,-0.03,-61.1,0.1,159,0.1,170.3,0.1,-61.1,0.1,159,0.1,170.3,0.1,26.1,0.3,-0.3,4.6,4.12,0.05,-0.05,,,,0.22,,,,,,2.6,0.5,-0.5,8.971,0.016,9.704,0.023,,7.708,0.023,7.47,0.034,7.302,0.026,7.187,0.038,7.333,0.02,7.285,0.019,6.904,0.081,,13,,,0.733,0.028,0.238,0.041,0.168,0.043,0.406,0.035,0.451,0.002,0.242,0.003,0.421,0.005,8
895,0,2,379.1,0.5,-0.5,0,1.03,0.02,-0.02,129.31868,-41.319103,97.51,0.32,-0.32,97.51,0.32,-0.32,8.971,8.797,5601,24,-24,1.14,0.15,-0.15,1.53,0.03,-0.03,-10,65.1,2.6,-2.6,2.25,0.13,-0.13,,,,715.09,41.32,-41.32,715.09,41.32,-41.32,,,,,,,,,,,0,36,24,8.62124532,260.681157,-0.185726,150.389714,-56.81327,10.26,0.03,-0.03,10.26,0.03,-0.03,-61.1,0.1,159,0.1,170.3,0.1,-61.1,0.1,159,0.1,170.3,0.1,26.1,0.3,-0.3,4.6,4.12,0.05,-0.05,,,,0.22,,,,,,2.6,0.5,-0.5,8.971,0.016,9.704,0.023,,7.708,0.023,7.47,0.034,7.302,0.026,7.187,0.038,7.333,0.02,7.285,0.019,6.904,0.081,,13,,,0.733,0.028,0.238,0.041,0.168,0.043,0.406,0.035,0.451,0.002,0.242,0.003,0.421,0.005,8
896,0,1,1750,24,-24,0,2.99,0.15,-0.15,129.815842,12.960376,83.53,0.37,-0.37,83.53,0.37,-0.37,8.23,7.957,4917,,,1.16,,,2.58,,,-130,17.11,0.93,-0.93,1.112,0.059,-0.059,,,,353.42696,18.75197,-18.75197,353.42696,18.75197,-18.75197,,,,,,,,,,,0,68,22,8.65438944,213.052894,29.698263,128.804629,-5.277616,11.97,0.05,-0.05,11.97,0.05,-0.05,-114.1,0.1,-93.9,0.1,147.7,0.1,-114.1,0.1,-93.9,0.1,147.7,0.1,10.08,0.15,-0.15,4.5,3.6,,,,,,,,,,,,1,,,8.23,,9.192,0.021,,6.524,0.018,6.072,0.02,5.962,0.026,5.956,0.117,5.889,0.041,5.982,0.015,5.854,0.051,,23,,,0.962,,0.452,0.027,0.11,0.033,0.562,0.032,0.605,0.003,0.412,0.004,0.438,0.006,11
897,0,2,51.645,0.003,-0.003,0,0.292,0.004,-0.004,130.604675,4.578097,64.6,4.6,-4.6,57.7,0.16,-0.16,7.614,7.469,6068,44,-44,1.24,0.04,-0.04,,,,-0.09,109.6,2.3,-2.3,1.8,0.06,-0.06,,,,572.07,19.07,-19.07,572.07,19.07,-19.07,,,,,,,,,,,0,69,27,8.70697835,221.985014,26.705201,131.78046,-13.167856,,,,17.33,0.05,-0.05,24.5,0.1,-200.3,0.1,201.8,0.1,24.5,0.1,-200.3,0.1,201.8,0.1,3.7,0.3,-0.3,4,,,,,,,0.11,0.03,-0.03,,,,4.3,,,7.614,0.012,8.195,0.017,,6.56,0.021,6.276,0.031,6.209,0.021,6.167,0.097,6.127,0.03,6.241,0.015,6.164,0.068,,13,,,0.581,0.021,0.284,0.037,0.067,0.037,0.351,0.03,0.375,0,0.18,0.005,0.391,0.009,8
